weight_decay,num_permutations
0.0,676879.0
0.002,710562.0
0.004,712588.0
0.006,740839.0
0.008,738022.6666666666
0.01,743483.3333333334
0.012,755053.6666666666
0.014,750545.0
0.016,754222.3333333334
0.018,758999.0
0.02,756220.6666666666
